Local,latitude,longitude
Bronx,40.8466508,-73.8785937
Brooklyn,40.6501038,-73.9495823
Manhattan,40.7896239,-73.9598939
Queens,40.7498243,-73.7976337
Staten Island,40.5834557,-74.1496048
